A̱o,Trimestre,Ingresos (miles de pesos),Fecha
2022,1,51432896,2022-03-01
2021,4,45467887,2021-12-01
2021,3,42999944,2021-09-01
2021,2,38239667,2021-06-01
2021,1,36676371,2021-03-01
2020,4,33539703,2020-12-01
2020,3,31997445,2020-09-01
2020,2,32102476,2020-06-01
2020,1,29946216,2020-03-01
2019,4,24169251,2019-12-01
2019,3,21652748,2019-09-01
2019,2,20743118,2019-06-01
2019,1,20207414,2019-03-01
2018,4,16637687,2018-12-01
2018,3,15410981,2018-09-01
2018,2,14319467,2018-06-01
2018,1,13171459,2018-03-01
2017,4,11226127,2017-12-01
2017,3,10065998,2017-09-01
2017,2,9678647,2017-06-01
2017,1,8701201,2017-03-01
2016,4,7483980,2016-12-01
2016,3,6912442,2016-09-01
2016,2,6534241,2016-06-01
2016,1,5936845,2016-03-01
2015,4,5376899,2015-12-01
2015,3,5153739,2015-09-01
2015,2,4701791,2015-06-01
2015,1,4876385,2015-03-01
2014,4,3950441,2014-12-01
2014,3,3478638,2014-09-01
2014,2,3270816,2014-06-01
2014,1,2984054,2014-03-01
